NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Kyle Walker2,D,33,1.78 m,78 kg,England,27,5,0,0,6,1,13,10,3,0
R£ben Dias3,D,26,1.85 m,76 kg,Portugal,26,4,0,0,9,2,18,7,3,0
John Stones5,D,29,1.88 m,78 kg,England,23,2,2,2,12,4,11,8,2,0
Nathan AkÇ6,D,28,1.8 m,73 kg,Netherlands,26,4,1,0,9,2,11,14,2,0
Aymeric Laporte14,D,29,1.88 m,86 kg,Spain,12,1,0,0,9,1,5,7,0,0
Manuel Akanji25,D,27,1.85 m,91 kg,Switzerland,29,5,0,1,15,2,24,12,2,0
Rico Lewis82,D,18,1.7 m,,England,14,4,0,0,5,2,10,18,1,0
Kalvin Phillips4,M,27,1.78 m,72 kg,England,12,10,0,0,6,0,10,2,1,0
Ilkay GÅndogan8,M,32,1.8 m,78 kg,Germany,31,4,8,4,51,18,22,25,0,0
Jack Grealish10,M,27,1.75 m,76 kg,England,28,5,5,7,40,13,25,78,4,0
Rodri16,M,26,1.91 m,82 kg,Spain,36,2,2,6,46,13,45,20,5,0
Kevin De Bruyne17,M,31,1.8 m,68 kg,Belgium,32,4,7,16,65,20,20,29,1,0
Bernardo Silva20,M,28,1.73 m,63 kg,Portugal,34,10,4,5,25,9,29,15,5,0
Sergio G¢mez21,M,22,1.7 m,68 kg,Spain,12,10,0,1,7,0,1,2,0,0
M†ximo Perrone32,M,20,1.78 m,68 kg,Argentina,1,1,0,0,0,0,0,0,0,0
Phil Foden47,M,23,1.7 m,68 kg,England,32,10,11,6,46,21,9,29,1,0
Shea Charles62,M,19,--,--,Northern Ireland,1,1,0,0,0,0,0,0,0,0
Nico O'Reilly75,M,18,--,--,England,0,0,0,0,0,0,0,0,0,0
Cole Palmer80,M,21,1.83 m,73 kg,England,14,12,0,2,11,4,1,6,1,0
Alex Robertson93,M,20,1.83 m,--,Australia,0,0,0,0,0,0,0,0,0,0
Ben Knight96,M,20,1.7 m,59 kg,England,0,0,0,0,0,0,0,0,0,0
Erling Haaland9,F,22,1.93 m,87 kg,Norway,35,2,36,8,125,60,31,24,5,0
Juli†n ?lvarez19,F,23,1.7 m,71 kg,Argentina,31,18,9,0,45,21,20,14,0,0
Riyad Mahrez26,F,32,1.78 m,67 kg,Algeria,30,8,5,11,40,12,15,42,2,0
